"Year","County","TotalIncidents","Year2"
2010,"Albany",13,0
2011,"Albany",7,1
2012,"Albany",5,2
2013,"Albany",3,3
2014,"Albany",3,4
2015,"Albany",3,5
2016,"Albany",3,6
2013,"Allegany",1,3
2010,"Bronx",22,0
2011,"Bronx",11,1
2012,"Bronx",9,2
2013,"Bronx",18,3
2014,"Bronx",17,4
2015,"Bronx",20,5
2016,"Bronx",20,6
2010,"Broome",2,0
2011,"Broome",1,1
2012,"Broome",2,2
2013,"Broome",2,3
2015,"Broome",3,5
2016,"Broome",3,6
2011,"Cattaraugus",1,1
2012,"Cattaraugus",1,2
2013,"Cattaraugus",1,3
2015,"Cattaraugus",2,5
2010,"Cayuga",1,0
2012,"Cayuga",4,2
2015,"Cayuga",1,5
2010,"Chautauqua",1,0
2011,"Chautauqua",1,1
2013,"Chautauqua",2,3
2015,"Chautauqua",1,5
2010,"Chemung",1,0
2011,"Chemung",1,1
2016,"Chemung",1,6
2010,"Chenango",2,0
2012,"Chenango",1,2
2016,"Chenango",2,6
2010,"Clinton",4,0
2011,"Clinton",4,1
2012,"Clinton",1,2
2010,"Columbia",1,0
2012,"Columbia",1,2
2014,"Columbia",1,4
2010,"Cortland",2,0
2011,"Cortland",1,1
2012,"Cortland",1,2
2013,"Cortland",1,3
2015,"Delaware",1,5
2010,"Dutchess",10,0
2011,"Dutchess",7,1
2012,"Dutchess",4,2
2013,"Dutchess",5,3
2014,"Dutchess",3,4
2015,"Dutchess",4,5
2010,"Erie",41,0
2011,"Erie",29,1
2012,"Erie",42,2
2013,"Erie",21,3
2014,"Erie",17,4
2015,"Erie",6,5
2016,"Erie",10,6
2010,"Essex",1,0
2011,"Essex",1,1
2014,"Essex",2,4
2010,"Franklin",1,0
2012,"Franklin",2,2
2015,"Franklin",2,5
2016,"Franklin",1,6
2012,"Fulton",1,2
2013,"Genesee",1,3
2015,"Greene",1,5
2010,"Herkimer",1,0
2014,"Herkimer",1,4
2012,"Jefferson",1,2
2013,"Jefferson",1,3
2014,"Jefferson",1,4
2016,"Jefferson",1,6
2010,"Kings",81,0
2011,"Kings",53,1
2012,"Kings",56,2
2013,"Kings",68,3
2014,"Kings",72,4
2015,"Kings",78,5
2016,"Kings",75,6
2012,"Lewis",1,2
2011,"Livingston",3,1
2013,"Livingston",1,3
2014,"Livingston",1,4
2016,"Livingston",1,6
2011,"Madison",3,1
2012,"Madison",3,2
2013,"Madison",1,3
2010,"Monroe",12,0
2011,"Monroe",4,1
2012,"Monroe",3,2
2013,"Monroe",7,3
2014,"Monroe",1,4
2015,"Monroe",2,5
2016,"Monroe",1,6
2010,"Multiple",3,0
2011,"Multiple",3,1
2013,"Multiple",1,3
2014,"Multiple",1,4
2016,"Multiple",1,6
2010,"Nassau",14,0
2011,"Nassau",11,1
2012,"Nassau",14,2
2013,"Nassau",13,3
2014,"Nassau",14,4
2015,"Nassau",11,5
2016,"Nassau",5,6
2010,"New York",75,0
2011,"New York",42,1
2012,"New York",54,2
2013,"New York",72,3
2014,"New York",55,4
2015,"New York",67,5
2016,"New York",79,6
2010,"Niagara",1,0
2011,"Niagara",6,1
2012,"Niagara",3,2
2013,"Niagara",3,3
2016,"Niagara",2,6
2012,"Oneida",2,2
2013,"Oneida",2,3
2016,"Oneida",1,6
2010,"Onondaga",3,0
2011,"Onondaga",2,1
2012,"Onondaga",1,2
2014,"Onondaga",1,4
2010,"Ontario",1,0
2011,"Ontario",1,1
2013,"Ontario",1,3
2010,"Orange",9,0
2011,"Orange",3,1
2012,"Orange",5,2
2013,"Orange",4,3
2014,"Orange",2,4
2015,"Orange",3,5
2016,"Orange",5,6
2010,"Orleans",1,0
2011,"Orleans",2,1
2010,"Oswego",7,0
2012,"Oswego",1,2
2015,"Oswego",1,5
2016,"Oswego",1,6
2010,"Otsego",2,0
2011,"Otsego",7,1
2012,"Otsego",1,2
2014,"Otsego",1,4
2015,"Otsego",1,5
2016,"Otsego",1,6
2012,"Putnam",2,2
2013,"Putnam",2,3
2010,"Queens",23,0
2011,"Queens",17,1
2012,"Queens",21,2
2013,"Queens",29,3
2014,"Queens",19,4
2015,"Queens",22,5
2016,"Queens",38,6
2010,"Rensselaer",2,0
2013,"Rensselaer",1,3
2015,"Rensselaer",1,5
2010,"Richmond",33,0
2011,"Richmond",5,1
2012,"Richmond",10,2
2013,"Richmond",4,3
2014,"Richmond",7,4
2015,"Richmond",9,5
2016,"Richmond",4,6
2010,"Rockland",14,0
2011,"Rockland",4,1
2012,"Rockland",5,2
2013,"Rockland",4,3
2014,"Rockland",3,4
2016,"Rockland",4,6
2010,"Saratoga",4,0
2011,"Saratoga",2,1
2012,"Saratoga",2,2
2013,"Saratoga",3,3
2015,"Saratoga",1,5
2010,"Schenectady",4,0
2011,"Schenectady",2,1
2015,"Schenectady",2,5
2013,"Schoharie",1,3
2014,"Schoharie",1,4
2016,"Schoharie",1,6
2011,"Schuyler",1,1
2012,"Seneca",1,2
2010,"St. Lawrence",2,0
2011,"St. Lawrence",1,1
2013,"St. Lawrence",1,3
2014,"St. Lawrence",2,4
2015,"St. Lawrence",4,5
2016,"St. Lawrence",1,6
2010,"Steuben",2,0
2013,"Steuben",1,3
2010,"Suffolk",38,0
2011,"Suffolk",23,1
2012,"Suffolk",35,2
2013,"Suffolk",21,3
2014,"Suffolk",16,4
2015,"Suffolk",20,5
2016,"Suffolk",5,6
2010,"Sullivan",1,0
2013,"Tioga",1,3
2015,"Tioga",1,5
2010,"Tompkins",5,0
2012,"Tompkins",5,2
2013,"Tompkins",2,3
2014,"Tompkins",1,4
2016,"Tompkins",1,6
2010,"Ulster",4,0
2011,"Ulster",2,1
2013,"Ulster",3,3
2014,"Ulster",1,4
2016,"Ulster",1,6
2015,"Warren",1,5
2010,"Washington",1,0
2012,"Washington",2,2
2014,"Washington",1,4
2010,"Wayne",3,0
2011,"Wayne",1,1
2010,"Westchester",16,0
2011,"Westchester",17,1
2012,"Westchester",13,2
2013,"Westchester",9,3
2014,"Westchester",13,4
2015,"Westchester",7,5
2016,"Westchester",1,6
2016,"Westchester",11,6
