Day_ID;Sleep;Babysleep;Grumpiness
1;7,59;10,18;56
2;7,91;11,66;60
3;5,14;7,92;82
4;7,71;9,61;55
5;6,68;9,75;67
6;5,99;5,04;72
7;8,19;10,45;53
8;7,19;8,27;60
9;7,4;6,06;60
10;6,58;7,09;71
11;6,49;11,68;72
12;6,27;6,13;65
13;5,95;7,83;74
14;6,65;5,6;67
15;6,41;6,03;66
16;6,33;8,19;69
17;6,3;6,38;73
18;8,47;11,11;52
19;7,21;5,51;61
20;7,53;6,69;53
21;8;9,74;54
22;7,35;9,02;63
23;6,86;6,44;74
24;7,86;9,43;56
25;4,86;3,46;82
26;5,87;6,32;72
27;8,4;7,95;59
28;6,93;7,69;66
29;7,21;7,45;60
30;6,99;7,56;67
31;8,17;7,95;44
32;7,85;11,61;53
33;6,27;4,7;76
34;8,66;8,52;41
35;4,98;4,7;86
36;6,19;8,32;60
37;6,41;9,38;63
38;4,84;4,18;89
39;7,03;5,98;61
40;7,66;9,29;57
41;7,51;6,01;59
42;7,92;10,54;60
43;8,12;11,78;48
44;7,47;11,6;53
45;7,99;11,35;50
46;5,44;5,63;72
47;8,16;6,98;57
48;7,62;6,03;60
49;5,87;4,66;70
50;9;9,81;46
51;8,31;12,07;58
52;6,71;7,57;68
53;7,43;11,35;58
54;5,9;5,47;71
55;8,52;8,29;52
56;6,03;6,8;74
57;7,29;10,63;59
58;7,32;8,59;59
59;6,88;7,82;67
60;6,22;7,18;67
61;6,94;8,29;61
62;7,01;11,08;64
63;7,2;6,46;61
64;6,3;3,25;61
65;8,72;9,74;54
66;7,82;8,75;62
67;8,14;11,75;52
68;7,27;9,31;64
69;6,7;7,73;65
70;7,55;8,68;65
71;7,38;9,77;57
72;7,73;9,71;59
73;5,32;4,17;79
74;7,86;10,18;53
75;6,35;9,28;67
76;7,11;7,23;61
77;5,45;6,38;82
78;7,8;9,2;68
79;7,13;8,2;67
80;8,35;10,16;54
81;6,93;8,95;53
82;7,07;6,8;62
83;8,66;8,34;50
84;5,09;6,25;80
85;4,91;6,75;91
86;7,03;9,09;62
87;7,02;10,42;64
88;7,67;8,89;57
89;8,15;9,43;54
90;5,88;6,79;72
91;5,72;6,91;78
92;6,66;6,05;63
93;6,85;6,32;59
94;5,57;8,62;74
95;5,16;7,84;76
96;5,31;5,89;79
97;7,77;9,77;51
98;5,38;6,97;82
99;7,02;6,56;55
100;6,45;7,93;74
